text_nr;word;frequency;zipf_frequency
text_12;es;0.00871;6.94
text_12;um;0.00288;6.46
text_12;missverständnisse;0.00000309;3.49
text_12;gehe;0.0000891;4.95
text_12;doch;0.00166;6.22
text_12;genau;0.000447;5.65
text_12;das;0.0145;7.16
text_12;ist;0.012;7.08
text_12;die;0.0302;7.48
text_12;zentrale;0.0000372;4.57
text_12;aussage;0.0000479;4.68
text_12;menschen;0.000776;5.89
text_12;verstehen;0.000148;5.17
text_12;einander;0.0000209;4.32
text_12;nicht;0.0102;7.01
text_12;der;0.0288;7.46
text_12;titel;0.00012;5.08
text_12;babel;0.00000102;3.01
text_12;verweist;0.0000107;4.03
text_12;auf;0.00776;6.89
text_12;die;0.0302;7.48
text_12;biblische;0.00000288;3.46
text_12;geschichte;0.000282;5.45
text_12;vom;0.00126;6.1
text_12;turmbau;0.000000339;2.53
text_12;bei;0.00457;6.66
text_12;dem;0.00575;6.76
text_12;gott;0.000182;5.26
text_12;die;0.0302;7.48
text_12;sprache;0.000117;5.07
text_12;der;0.0288;7.46
text_12;menschen;0.000776;5.89
text_12;verwirrte;0.00000148;3.17
text_12;der;0.0288;7.46
text_12;film;0.00017;5.23
text_12;verdeutlicht;0.00000427;3.63
text_12;die;0.0302;7.48
text_12;folgen;0.000151;5.18
text_12;von;0.00977;6.99
text_12;sprachlosigkeit;0.000000398;2.6
text_12;und;0.0263;7.42
text_12;missverständnissen;0.00000126;3.1
text_13;nina;0.000012;4.08
text_13;ist;0.012;7.08
text_13;seit;0.000813;5.91
text_13;22;0.000156;5.19
text_13;jahren;0.000676;5.83
text_13;schauspielerin;0.0000166;4.22
text_13;hollywood;0.000017;4.23
text_13;interessiert;0.0000741;4.87
text_13;sie;0.00661;6.82
text_13;nicht;0.0102;7.01
text_13;mehr;0.00214;6.33
text_13;weil;0.000891;5.95
text_13;sie;0.00661;6.82
text_13;eine;0.00631;6.8
text_13;karriere;0.0000501;4.7
text_13;als;0.00513;6.71
text_13;nazi;0.0000288;4.46
text_13;befürchtet;0.00000759;3.88
text_13;sie;0.00661;6.82
text_13;bevorzugt;0.0000138;4.14
text_13;künstlerische;0.00001;4
text_13;französische;0.0000324;4.51
text_13;und;0.0263;7.42
text_13;russische;0.0000389;4.59
text_13;filme;0.0000525;4.72
text_13;dennoch;0.00011;5.04
text_13;durfte;0.000038;4.58
text_13;sie;0.00661;6.82
text_13;für;0.00759;6.88
text_13;schindlers;0.000000457;2.66
text_13;liste;0.0000912;4.96
text_13;vorsprechen;0.000000724;2.86
text_13;bekam;0.0000501;4.7
text_13;aber;0.00427;6.63
text_13;die;0.0302;7.48
text_13;rolle;0.000145;5.16
text_13;nicht;0.0102;7.01
text_13;weil;0.000891;5.95
text_13;sie;0.00661;6.82
text_13;laut;0.00017;5.23
text_13;spielberg;0.00000186;3.27
text_13;nicht;0.0102;7.01
text_13;jüdisch;0.00000309;3.49
text_13;genug;0.000224;5.35
text_13;war;0.00339;6.53
text_13;heute;0.000759;5.88
text_13;lebt;0.0000759;4.88
text_13;sie;0.00661;6.82
text_13;zwar;0.000331;5.52
text_13;in;0.0174;7.24
text_13;hollywood;0.000017;4.23
text_13;träumt;0.00000525;3.72
text_13;aber;0.00427;6.63
text_13;nicht;0.0102;7.01
text_13;mehr;0.00214;6.33
text_13;vom;0.00126;6.1
text_13;star-ruhm;0.00000752;3.88
text_13;mit;0.00955;6.98
text_13;fast;0.00038;5.58
text_13;40;0.0000856;4.93
text_13;sei;0.000501;5.7
text_13;das;0.0145;7.16
text_13;unrealistisch;0.00000275;3.44
text_13;sagt;0.000389;5.59
text_13;sie;0.00661;6.82
text_13;viele;0.000676;5.83
text_13;schauspieler;0.0000355;4.55
text_13;erleben;0.0000447;4.65
text_13;in;0.0174;7.24
text_13;hollywood;0.000017;4.23
text_13;enttäuschungen;0.00000195;3.29
text_13;männer;0.0002;5.3
text_13;geben;0.000398;5.6
text_13;sich;0.00617;6.79
text_13;als;0.00513;6.71
text_13;produzenten;0.00000912;3.96
text_13;aus;0.00398;6.6
text_13;können;0.00132;6.12
text_13;aber;0.00427;6.63
text_13;nicht;0.0102;7.01
text_13;einmal;0.000457;5.66
text_13;ihre;0.00115;6.06
text_13;miete;0.0000224;4.35
text_13;zahlen;0.000141;5.15
text_13;manche;0.000102;5.01
text_13;berühmten;0.0000158;4.2
text_13;stars;0.0000204;4.31
text_13;hatten;0.000331;5.52
text_13;ähnliche;0.0000347;4.54
text_13;anfänge;0.00000575;3.76
text_13;vin;0.00000155;3.19
text_13;diesel;0.0000166;4.22
text_13;war;0.00339;6.53
text_13;türsteher;0.00000182;3.26
text_13;whoopi;0.000000115;2.06
text_13;goldberg;0.0000017;3.23
text_13;arbeitete;0.0000234;4.37
text_13;als;0.00513;6.71
text_13;leichenkosmetikerin;0;0
text_13;solche;0.000219;5.34
text_13;geschichten;0.0000447;4.65
text_13;geben;0.000398;5.6
text_13;arbeitslosen;0.00000525;3.72
text_13;schauspielern;0.00000389;3.59
text_13;hoffnung;0.0000646;4.81
text_13;nina;0.000012;4.08
text_13;kann;0.00251;6.4
text_13;immerhin;0.0000708;4.85
text_13;von;0.00977;6.99
text_13;europäischen;0.0000955;4.98
text_13;gagen;0.000000372;2.57
text_13;leben;0.000724;5.86
text_13;früher;0.000166;5.22
text_13;wollte;0.000316;5.5
text_13;sie;0.00661;6.82
text_13;oft;0.000302;5.48
text_13;aufgeben;0.0000182;4.26
text_13;und;0.0263;7.42
text_13;für;0.00759;6.88
text_13;das;0.0145;7.16
text_13;magazin;0.0000263;4.42
text_13;geo;0.00000295;3.47
text_13;reportagen;0.00000302;3.48
text_13;aus;0.00398;6.6
text_13;der;0.0288;7.46
text_13;weiten;0.000017;4.23
text_13;welt;0.000457;5.66
text_13;schreiben;0.000178;5.25
text_13;doch;0.00166;6.22
text_13;sie;0.00661;6.82
text_13;wurde;0.00155;6.19
text_13;immer;0.00162;6.21
text_13;wieder;0.00151;6.18
text_13;für;0.00759;6.88
text_13;neue;0.000589;5.77
text_13;rollen;0.0000316;4.5
text_13;gewonnen;0.0000676;4.83
text_13;nun;0.000759;5.88
text_13;überlegt;0.0000224;4.35
text_13;sie;0.00661;6.82
text_13;wie;0.00447;6.65
text_13;es;0.00871;6.94
text_13;weitergeht;0.00000776;3.89
text_13;vor;0.00204;6.31
text_13;der;0.0288;7.46
text_13;kamera;0.0000575;4.76
text_13;dahinter;0.0000282;4.45
text_13;oder;0.00316;6.5
text_13;ganz;0.000955;5.98
text_13;anders;0.000214;5.33
text_14;berlin;0.000479;5.68
text_14;windig;0.00000132;3.12
text_14;zehn;0.00012;5.08
text_14;grad;0.0000933;4.97
text_14;florence;0.000002;3.3
text_14;welch;0.0000158;4.2
text_14;gibt;0.00115;6.06
text_14;auf;0.00776;6.89
text_14;einer;0.00263;6.42
text_14;dachterrasse;0.00000107;3.03
text_14;ein;0.00813;6.91
text_14;exklusives;0.00000126;3.1
text_14;konzert;0.0000407;4.61
text_14;später;0.000316;5.5
text_14;sitzt;0.0000646;4.81
text_14;sie;0.00661;6.82
text_14;beim;0.000871;5.94
text_14;interview;0.0000575;4.76
text_14;seit;0.000813;5.91
text_14;2009;0.0000436;4.64
text_14;ist;0.012;7.08
text_14;die;0.0302;7.48
text_14;londonerin;0.0000000214;1.33
text_14;unter;0.00126;6.1
text_14;dem;0.00575;6.76
text_14;namen;0.000234;5.37
text_14;florence;0.000002;3.3
text_14;and;0.000166;5.22
text_14;the;0.000417;5.62
text_14;machine;0.00000501;3.7
text_14;international;0.0000479;4.68
text_14;bekannt;0.000182;5.26
text_14;the;0.000417;5.62
text_14;machine;0.00000501;3.7
text_14;bezeichnet;0.0000832;4.92
text_14;dabei;0.000631;5.8
text_14;keine;0.00145;6.16
text_14;feste;0.000024;4.38
text_14;band;0.000115;5.06
text_14;sondern;0.000589;5.77
text_14;wechselnde;0.00000309;3.49
text_14;musikalische;0.0000138;4.14
text_14;begleiter;0.00000933;3.97
text_14;ihr;0.00166;6.22
text_14;debütalbum;0.00000105;3.02
text_14;lungs;0.0000000468;1.67
text_14;erreichte;0.0000229;4.36
text_14;platz;0.000288;5.46
text_14;eins;0.0000933;4.97
text_14;der;0.0288;7.46
text_14;britischen;0.0000229;4.36
text_14;charts;0.00000813;3.91
text_14;und;0.0263;7.42
text_14;erhielt;0.0000479;4.68
text_14;in;0.0174;7.24
text_14;den;0.01;7
text_14;usa;0.000214;5.33
text_14;eine;0.00631;6.8
text_14;goldene;0.0000191;4.28
text_14;schallplatte;0.00000145;3.16
text_14;spätestens;0.0000355;4.55
text_14;mit;0.00955;6.98
text_14;ihrem;0.000339;5.53
text_14;auftritt;0.0000407;4.61
text_14;bei;0.00457;6.66
text_14;den;0.01;7
text_14;mtv;0.00000603;3.78
text_14;video;0.000135;5.13
text_14;music;0.0000158;4.2
text_14;awards;0.00000562;3.75
text_14;schaffte;0.0000135;4.13
text_14;sie;0.00661;6.82
text_14;den;0.01;7
text_14;durchbruch;0.0000102;4.01
text_14;ihr;0.00166;6.22
text_14;song;0.0000479;4.68
text_14;dog;0.00000513;3.71
text_14;days;0.00000617;3.79
text_14;are;0.0000195;4.29
text_14;over;0.0000123;4.09
text_14;wurde;0.00155;6.19
text_14;zum;0.00257;6.41
text_14;hit;0.0000132;4.12
text_14;ihre;0.00115;6.06
text_14;musik;0.000209;5.32
text_14;lief;0.000049;4.69
text_14;in;0.0174;7.24
text_14;vielen;0.000331;5.52
text_14;us-serien;0.0000189;4.28
text_14;welch;0.0000158;4.2
text_14;trat;0.0000437;4.64
text_14;bei;0.00457;6.66
text_14;einer;0.00263;6.42
text_14;google-versammlung;0.0000151;4.18
text_14;x-factor;0.00000206;3.31
text_14;und;0.0263;7.42
text_14;modenschauen;0.000000245;2.39
text_14;auf;0.00776;6.89
text_14;lungs;0.0000000468;1.67
text_14;war;0.00339;6.53
text_14;ein;0.00813;6.91
text_14;vielseitiges;0.000000661;2.82
text_14;album;0.0000562;4.75
text_14;aus;0.00398;6.6
text_14;blues;0.00000794;3.9
text_14;disco;0.00000617;3.79
text_14;und;0.0263;7.42
text_14;soul;0.00000603;3.78
text_14;für;0.00759;6.88
text_14;ihr;0.00166;6.22
text_14;neues;0.000158;5.2
text_14;werk;0.0000776;4.89
text_14;wollte;0.000316;5.5
text_14;sie;0.00661;6.82
text_14;mehr;0.00214;6.33
text_14;einheit;0.0000372;4.57
text_14;sie;0.00661;6.82
text_14;nahm;0.0000933;4.97
text_14;es;0.00871;6.94
text_14;komplett;0.0000891;4.95
text_14;im;0.00724;6.86
text_14;abbey-road-studio;0.00000095;2.98
text_14;mit;0.00955;6.98
text_14;nur;0.00331;6.52
text_14;einem;0.00224;6.35
text_14;produzenten;0.00000912;3.96
text_14;auf;0.00776;6.89
text_14;die;0.0302;7.48
text_14;eindrucksvollen;0.00000155;3.19
text_14;lieder;0.0000282;4.45
text_14;erzählen;0.0000513;4.71
text_14;von;0.00977;6.99
text_14;verlust;0.0000324;4.51
text_14;betrug;0.0000275;4.44
text_14;und;0.0263;7.42
text_14;trauer;0.0000135;4.13
text_14;das;0.0145;7.16
text_14;magazin;0.0000263;4.42
text_14;rolling;0.00000339;3.53
text_14;stone;0.00000741;3.87
text_14;sieht;0.000372;5.57
text_14;in;0.0174;7.24
text_14;ihr;0.00166;6.22
text_14;eine;0.00631;6.8
text_14;künstlerin;0.0000115;4.06
text_14;mit;0.00955;6.98
text_14;potenzial;0.00001;4
text_14;für;0.00759;6.88
text_14;weltweiten;0.00000851;3.93
text_14;ruhm;0.00000871;3.94
text_15;im;0.00724;6.86
text_15;jahr;0.000692;5.84
text_15;1841;0.00000189;3.28
text_15;organisierte;0.00001;4
text_15;der;0.0288;7.46
text_15;prediger;0.00000575;3.76
text_15;thomas;0.00011;5.04
text_15;cook;0.00000363;3.56
text_15;eine;0.00631;6.8
text_15;zugreise;0.000000158;2.2
text_15;zu;0.0102;7.01
text_15;einer;0.00263;6.42
text_15;anti-alkohol-kundgebung;0.00000435;3.64
text_15;und;0.0263;7.42
text_15;initiierte;0.00000155;3.19
text_15;damit;0.000912;5.96
text_15;den;0.01;7
text_15;massentourismus;0.000000339;2.53
text_15;für;0.00759;6.88
text_15;einen;0.00302;6.48
text_15;schilling;0.00000575;3.76
text_15;konnten;0.000145;5.16
text_15;auch;0.00603;6.78
text_15;weniger;0.000263;5.42
text_15;wohlhabende;0.00000182;3.26
text_15;menschen;0.000776;5.89
text_15;reisen;0.0000479;4.68
text_15;vier;0.000275;5.44
text_15;jahre;0.000661;5.82
text_15;später;0.000316;5.5
text_15;bot;0.000038;4.58
text_15;cook;0.00000363;3.56
text_15;eigene;0.000158;5.2
text_15;reisen;0.0000479;4.68
text_15;an;0.0049;6.69
text_15;musste;0.00024;5.38
text_15;aber;0.00427;6.63
text_15;bald;0.000204;5.31
text_15;insolvenz;0.00000646;3.81
text_15;anmelden;0.000017;4.23
text_15;er;0.00513;6.71
text_15;erholte;0.00000126;3.1
text_15;sich;0.00617;6.79
text_15;jedoch;0.000363;5.56
text_15;davon;0.00038;5.58
text_15;und;0.0263;7.42
text_15;plante;0.00000275;3.44
text_15;größere;0.0000603;4.78
text_15;touren;0.00000661;3.82
text_15;in;0.0174;7.24
text_15;die;0.0302;7.48
text_15;alpen;0.0000148;4.17
text_15;nach;0.00363;6.56
text_15;italien;0.0000676;4.83
text_15;oder;0.00316;6.5
text_15;griechenland;0.0000347;4.54
text_15;reisen;0.0000479;4.68
text_15;einst;0.0000347;4.54
text_15;nur;0.00331;6.52
text_15;dem;0.00575;6.76
text_15;adel;0.00000631;3.8
text_15;vorbehalten;0.0000102;4.01
text_15;wurde;0.00155;6.19
text_15;durch;0.00182;6.26
text_15;cook;0.00000363;3.56
text_15;für;0.00759;6.88
text_15;die;0.0302;7.48
text_15;mittelschicht;0.00000282;3.45
text_15;möglich;0.000251;5.4
text_15;sein;0.00209;6.32
text_15;ruf;0.0000363;4.56
text_15;als;0.00513;6.71
text_15;begründer;0.00000245;3.39
text_15;des;0.0055;6.74
text_15;massentourismus;0.000000339;2.53
text_15;ist;0.012;7.08
text_15;auch;0.00603;6.78
text_15;einer;0.00263;6.42
text_15;gezielten;0.00000302;3.48
text_15;marketingstrategie;0.000000251;2.4
text_15;nach;0.00363;6.56
text_15;seinem;0.000427;5.63
text_15;tod;0.000145;5.16
text_15;zu;0.0102;7.01
text_15;verdanken;0.000012;4.08
text_15;1865;0.00000291;3.46
text_15;eröffnete;0.0000105;4.02
text_15;er;0.00513;6.71
text_15;in;0.0174;7.24
text_15;london;0.0000676;4.83
text_15;sein;0.00209;6.32
text_15;erstes;0.0000562;4.75
text_15;büro;0.0000537;4.73
text_15;später;0.000316;5.5
text_15;übernahm;0.0000186;4.27
text_15;sein;0.00209;6.32
text_15;sohn;0.000166;5.22
text_15;john;0.0000832;4.92
text_15;die;0.0302;7.48
text_15;leitung;0.0000537;4.73
text_15;1873;0.00000336;3.53
text_15;erfüllte;0.00000407;3.61
text_15;sich;0.00617;6.79
text_15;thomas;0.00011;5.04
text_15;cook;0.00000363;3.56
text_15;seinen;0.000525;5.72
text_15;lebenstraum;0.000000501;2.7
text_15;von;0.00977;6.99
text_15;einer;0.00263;6.42
text_15;222-tägigen;0.000000624;2.8
text_15;weltreise;0.00000195;3.29
text_15;über;0.00245;6.39
text_15;40;1.31E-10;0
text_15;kilometer;0.0000646;4.81
text_15;doch;0.00166;6.22
text_15;es;0.00871;6.94
text_15;kam;0.000339;5.53
text_15;zu;0.0102;7.01
text_15;konflikten;0.0000055;3.74
text_15;mit;0.00955;6.98
text_15;seinem;0.000427;5.63
text_15;sohn;0.000166;5.22
text_15;der;0.0288;7.46
text_15;das;0.0145;7.16
text_15;unternehmen;0.00024;5.38
text_15;in;0.0174;7.24
text_15;seiner;0.000676;5.83
text_15;abwesenheit;0.00000891;3.95
text_15;vergrößerte;0.00000191;3.28
text_15;cook;0.00000363;3.56
text_15;zog;0.0000603;4.78
text_15;sich;0.00617;6.79
text_15;zurück;0.000372;5.57
text_15;erblindete;0.000000186;2.27
text_15;und;0.0263;7.42
text_15;starb;0.0000457;4.66
text_15;nach;0.00363;6.56
text_15;einem;0.00224;6.35
text_15;schlaganfall;0.00000617;3.79
text_15;seine;0.00107;6.03
text_15;nachfahren;0.00000224;3.35
text_15;verkauften;0.00000562;3.75
text_15;das;0.0145;7.16
text_15;unternehmen;0.00024;5.38
text_15;später;0.000316;5.5
text_15;an;0.0049;6.69
text_15;die;0.0302;7.48
text_15;betreiber;0.000017;4.23
text_15;des;0.0055;6.74
text_15;orient-express;0.0000039;3.59
text_16;im;0.00724;6.86
text_16;jahr;0.000692;5.84
text_16;1602;0.000000149;2.17
text_16;strandete;0.000000138;2.14
text_16;der;0.0288;7.46
text_16;französische;0.0000324;4.51
text_16;abenteurer;0.00000219;3.34
text_16;françois;0.00000575;3.76
text_16;pyrard;0;0
text_16;auf;0.00776;6.89
text_16;den;0.01;7
text_16;malediven;0.00000148;3.17
text_16;dort;0.000603;5.78
text_16;stieß;0.0000138;4.14
text_16;er;0.00513;6.71
text_16;mit;0.00955;6.98
text_16;seiner;0.000676;5.83
text_16;mannschaft;0.0000851;4.93
text_16;auf;0.00776;6.89
text_16;eine;0.00631;6.8
text_16;außergewöhnlich;0.00000646;3.81
text_16;große;0.000355;5.55
text_16;und;0.0263;7.42
text_16;seltsam;0.00002;4.3
text_16;geformte;0.00000129;3.11
text_16;frucht;0.00000692;3.84
text_16;diese;0.00158;6.2
text_16;stellte;0.0000741;4.87
text_16;sich;0.00617;6.79
text_16;als;0.00513;6.71
text_16;nuss;0.00000427;3.63
text_16;der;0.0288;7.46
text_16;seychellen-palme;0.000000711;2.85
text_16;heraus;0.000102;5.01
text_16;diese;0.00158;6.2
text_16;ist;0.012;7.08
text_16;eine;0.00631;6.8
text_16;der;0.0288;7.46
text_16;seltensten;0.00000145;3.16
text_16;palmenarten;0.0000000204;1.31
text_16;weltweit;0.0000603;4.78
text_16;mit;0.00955;6.98
text_16;nur;0.00331;6.52
text_16;noch;0.00355;6.55
text_16;etwa;0.000417;5.62
text_16;8200;0.0000000218;1.34
text_16;exemplaren;0.00000468;3.67
text_16;die;0.0302;7.48
text_16;nuss;0.00000427;3.63
text_16;entwickelt;0.0000832;4.92
text_16;sich;0.00617;6.79
text_16;aus;0.00398;6.6
text_16;einem;0.00224;6.35
text_16;bis;0.0017;6.23
text_16;zu;0.0102;7.01
text_16;20;0.000156;5.19
text_16;kilogramm;0.00000794;3.9
text_16;schweren;0.0000372;4.57
text_16;samen;0.0000112;4.05
text_16;und;0.0263;7.42
text_16;kann;0.00251;6.4
text_16;die;0.0302;7.48
text_16;vierfache;0.00000117;3.07
text_16;größe;0.0000708;4.85
text_16;einer;0.00263;6.42
text_16;kokosnuss;0.00000138;3.14
text_16;erreichen;0.000102;5.01
text_16;im;0.00724;6.86
text_16;botanischen;0.00000316;3.5
text_16;garten;0.0000537;4.73
text_16;in;0.0174;7.24
text_16;berlin;0.000479;5.68
text_16;keimt;0.000000363;2.56
text_16;nun;0.000759;5.88
text_16;erstmals;0.0000724;4.86
text_16;seit;0.000813;5.91
text_16;80;0.0000446;4.65
text_16;jahren;0.000676;5.83
text_16;ein;0.00813;6.91
text_16;solches;0.0000204;4.31
text_16;exemplar;0.00000891;3.95
text_16;die;0.0302;7.48
text_16;kultivierung;0.000000646;2.81
text_16;der;0.0288;7.46
text_16;pflanze;0.0000135;4.13
text_16;gilt;0.000195;5.29
text_16;als;0.00513;6.71
text_16;anspruchsvoll;0.00000316;3.5
text_16;da;0.00234;6.37
text_16;ihr;0.00166;6.22
text_16;fortpflanzungssystem;0.0000000135;1.13
text_16;hochkomplex;0.0000000851;1.93
text_16;ist;0.012;7.08
text_16;es;0.00871;6.94
text_16;existieren;0.0000224;4.35
text_16;getrenntgeschlechtliche;0;0
text_16;pflanzen;0.0000389;4.59
text_16;doch;0.00166;6.22
text_16;der;0.0288;7.46
text_16;genaue;0.0000224;4.35
text_16;mechanismus;0.0000049;3.69
text_16;der;0.0288;7.46
text_16;pollenübertragung;0;0
text_16;ist;0.012;7.08
text_16;noch;0.00355;6.55
text_16;ungeklärt;0.00000282;3.45
text_16;außerdem;0.00024;5.38
text_16;sinken;0.0000129;4.11
text_16;die;0.0302;7.48
text_16;schweren;0.0000372;4.57
text_16;samen;0.0000112;4.05
text_16;im;0.00724;6.86
text_16;wasser;0.000209;5.32
text_16;was;0.00309;6.49
text_16;ihre;0.00115;6.06
text_16;verbreitung;0.0000229;4.36
text_16;erschwert;0.00000631;3.8
text_16;in;0.0174;7.24
text_16;berlin;0.000479;5.68
text_16;wird;0.00316;6.5
text_16;die;0.0302;7.48
text_16;aufzucht;0.00000135;3.13
text_16;durch;0.00182;6.26
text_16;eine;0.00631;6.8
text_16;beet-heizung;0.00000095;2.98
text_16;unterstützt;0.0000708;4.85
text_16;kritisch;0.0000234;4.37
text_16;wird;0.00316;6.5
text_16;es;0.00871;6.94
text_16;wenn;0.00324;6.51
text_16;die;0.0302;7.48
text_16;nährstoffreserven;0;0
text_16;der;0.0288;7.46
text_16;nuss;0.00000427;3.63
text_16;aufgebraucht;0.00000302;3.48
text_16;sind;0.00398;6.6
text_16;erst;0.000575;5.76
text_16;nach;0.00363;6.56
text_16;mehreren;0.0000708;4.85
text_16;jahren;0.000676;5.83
text_16;lässt;0.000288;5.46
text_16;sich;0.00617;6.79
text_16;das;0.0145;7.16
text_16;geschlecht;0.0000257;4.41
text_16;und;0.0263;7.42
text_16;die;0.0302;7.48
text_16;überlebensfähigkeit;0.000000174;2.24
text_16;der;0.0288;7.46
text_16;palme;0.00000324;3.51
text_16;erkennen;0.0000813;4.91
text_17;auf;0.00776;6.89
text_17;dem;0.00575;6.76
text_17;mars;0.000012;4.08
text_17;gibt;0.00115;6.06
text_17;es;0.00871;6.94
text_17;neue;0.000589;5.77
text_17;hinweise;0.0000339;4.53
text_17;darauf;0.000331;5.52
text_17;dass;0.0049;6.69
text_17;es;0.00871;6.94
text_17;dort;0.000603;5.78
text_17;früher;0.000166;5.22
text_17;wasser;0.000209;5.32
text_17;gab;0.000347;5.54
text_17;möglicherweise;0.000049;4.69
text_17;gab;0.000347;5.54
text_17;es;0.00871;6.94
text_17;sogar;0.000331;5.52
text_17;leben;0.000724;5.86
text_17;britische;0.0000224;4.35
text_17;forscher;0.0000229;4.36
text_17;haben;0.00282;6.45
text_17;auf;0.00776;6.89
text_17;satellitenbildern;0.000000234;2.37
text_17;alte;0.00017;5.23
text_17;seebecken;0.0000000955;1.98
text_17;entdeckt;0.0000562;4.75
text_17;die;0.0302;7.48
text_17;etwa;0.000417;5.62
text_17;drei;0.000525;5.72
text_17;milliarden;0.000049;4.69
text_17;jahre;0.000661;5.82
text_17;alt;0.000145;5.16
text_17;sind;0.00398;6.6
text_17;sie;0.00661;6.82
text_17;liegen;0.000158;5.2
text_17;in;0.0174;7.24
text_17;der;0.0288;7.46
text_17;gegend;0.0000437;4.64
text_17;ares;0.000000912;2.96
text_17;vallis;0.0000000851;1.93
text_17;bisher;0.000182;5.26
text_17;hielt;0.0000617;4.79
text_17;man;0.00288;6.46
text_17;die;0.0302;7.48
text_17;vertiefungen;0.000000776;2.89
text_17;für;0.00759;6.88
text_17;überreste;0.00000437;3.64
text_17;des;0.0055;6.74
text_17;verdunsteten;0;0
text_17;eises;0.000000479;2.68
text_17;neue;0.000589;5.77
text_17;bilder;0.000132;5.12
text_17;zeigen;0.000195;5.29
text_17;aber;0.00427;6.63
text_17;flüsse;0.00000562;3.75
text_17;zwischen;0.000676;5.83
text_17;den;0.01;7
text_17;seen;0.00000891;3.95
text_17;was;0.00309;6.49
text_17;wiederum;0.0000575;4.76
text_17;auf;0.00776;6.89
text_17;fließendes;0.000000891;2.95
text_17;wasser;0.000209;5.32
text_17;hinweist;0.00000372;3.57
text_17;das;0.0145;7.16
text_17;muster;0.0000195;4.29
text_17;erinnert;0.0000646;4.81
text_17;an;0.0049;6.69
text_17;seen;0.00000891;3.95
text_17;in;0.0174;7.24
text_17;sibirien;0.00000309;3.49
text_17;oder;0.00316;6.5
text_17;alaska;0.00000347;3.54
text_17;die;0.0302;7.48
text_17;durch;0.00182;6.26
text_17;schmelzenden;0.000000151;2.18
text_17;permafrost;0.000000234;2.37
text_17;entstehen;0.0000575;4.76
text_17;geologen;0.00000115;3.06
text_17;schätzen;0.0000234;4.37
text_17;das;0.0145;7.16
text_17;alter;0.000186;5.27
text_17;der;0.0288;7.46
text_17;mars-oberfläche;0.00000795;3.9
text_17;indem;0.0000933;4.97
text_17;sie;0.00661;6.82
text_17;krater;0.00000219;3.34
text_17;zählen;0.0000427;4.63
text_17;bisher;0.000182;5.26
text_17;glaubte;0.000011;4.04
text_17;man;0.00288;6.46
text_17;der;0.0288;7.46
text_17;mars;0.000012;4.08
text_17;habe;0.00214;6.33
text_17;vor;0.00204;6.31
text_17;3,8;0.00000215;3.33
text_17;milliarden;0.000049;4.69
text_17;jahren;0.000676;5.83
text_17;seine;0.00107;6.03
text_17;dichte;0.00000891;3.95
text_17;atmosphäre;0.0000251;4.4
text_17;verloren;0.000117;5.07
text_17;und;0.0263;7.42
text_17;sei;0.000501;5.7
text_17;seither;0.0000166;4.22
text_17;zu;0.0102;7.01
text_17;kalt;0.0000363;4.56
text_17;für;0.00759;6.88
text_17;flüssiges;0.00000129;3.11
text_17;wasser;0.000209;5.32
text_17;doch;0.00166;6.22
text_17;vulkanausbrüche;0.000000214;2.33
text_17;meteoriteneinschläge;0.0000000178;1.25
text_17;oder;0.00316;6.5
text_17;änderungen;0.000024;4.38
text_17;der;0.0288;7.46
text_17;umlaufbahn;0.00000145;3.16
text_17;könnten;0.000151;5.18
text_17;später;0.000316;5.5
text_17;doch;0.00166;6.22
text_17;wieder;0.00151;6.18
text_17;wasser;0.000209;5.32
text_17;ermöglicht;0.0000309;4.49
text_17;haben;0.00282;6.45
text_17;in;0.0174;7.24
text_17;den;0.01;7
text_17;alten;0.000204;5.31
text_17;seen;0.00000891;3.95
text_17;könnte;0.00049;5.69
text_17;es;0.00871;6.94
text_17;sogar;0.000331;5.52
text_17;mikrobielles;0.0000000288;1.46
text_17;leben;0.000724;5.86
text_17;gegeben;0.000155;5.19
text_17;haben;0.00282;6.45
text_17;die;0.0302;7.48
text_17;forscher;0.0000229;4.36
text_17;wollen;0.000513;5.71
text_17;nun;0.000759;5.88
text_17;herausfinden;0.00000832;3.92
text_17;wie;0.00447;6.65
text_17;weit;0.000251;5.4
text_17;sich;0.00617;6.79
text_17;diese;0.00158;6.2
text_17;seen;0.00000891;3.95
text_17;auf;0.00776;6.89
text_17;dem;0.00575;6.76
text_17;mars;0.000012;4.08
text_17;verbreiten;0.0000158;4.2
text_18;leo;0.0000186;4.27
text_18;valentin;0.00000468;3.67
text_18;wollte;0.000316;5.5
text_18;beweisen;0.0000339;4.53
text_18;dass;0.0049;6.69
text_18;menschen;0.000776;5.89
text_18;wie;0.00447;6.65
text_18;vögel;0.0000204;4.31
text_18;fliegen;0.0000457;4.66
text_18;können;0.00132;6.12
text_18;dafür;0.000479;5.68
text_18;baute;0.00000871;3.94
text_18;er;0.00513;6.71
text_18;sich;0.00617;6.79
text_18;flügel;0.0000224;4.35
text_18;und;0.0263;7.42
text_18;sprang;0.00000933;3.97
text_18;damit;0.000912;5.96
text_18;aus;0.00398;6.6
text_18;flugzeugen;0.00000331;3.52
text_18;1954;0.0000153;4.18
text_18;sagte;0.000302;5.48
text_18;er;0.00513;6.71
text_18;er;0.00513;6.71
text_18;sei;0.000501;5.7
text_18;fast;0.00038;5.58
text_18;fünf;0.000195;5.29
text_18;kilometer;0.0000646;4.81
