thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_nback.thisRepN,loop_nback.thisTrialN,loop_nback.thisN,loop_nback.thisIndex,thisRow.t,notes,settings.started,settings.stopped,colour,global_onset_time,target,button_pressed,nback_response,nback_RT,RT,text_nr,trial_nr,block_nr_exp,block_name,n-back_level,word,nontarget_triggers_sent_this_condition,target_triggers_sent_this_condition,total_triggers_sent_this_condition,minimum_triggers_this_condition,maximum_triggers_this_block,trigger_time,question,chosen_ans,ans_correct,reading_self_paced.started,reading_self_paced.stopped,nback_self_paced.started,nback_self_paced.stopped,end.started,end.stopped,participant,session,TMS_port,testing_mode,skip_reading,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,0.03554558753967285,0.035681962966918945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,01,yes,no,no,2025-07-09_10h11.49.988,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-09 10h13.47.886810 +0200,
0,0,0,0,0,0,0,,,,,0.17595148086547852,,,,#88BA3F,10.673637628555298,False,space,correct rejection,None,1951.5111446380615,text_47,1,1,2back_dual_main_click,2,Im,0,0,0,120,60,,,,,,,,,,,12,01,yes,no,no,2025-07-09_10h11.49.988,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-09 10h13.47.886810 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,12.666221141815186,False,space,correct rejection,None,1143.0764198303223,text_47,2,1,2back_dual_main_click,2,Oktober,0,0,0,120,60,,,,,,,,,,,12,01,yes,no,no,2025-07-09_10h11.49.988,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-09 10h13.47.886810 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,13.848581075668335,False,space,correct rejection,None,1272.688865661621,text_47,3,1,2back_dual_main_click,2,2007,1,0,1,120,60,13.913053750991821,,,,,,,,,,12,01,yes,no,no,2025-07-09_10h11.49.988,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-09 10h13.47.886810 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,15.176034927368164,True,l,hit,601.1614799499512,1033.1766605377197,text_47,4,1,2back_dual_main_click,2,trafen,1,0,1,120,60,,,,,,,,,,,12,01,yes,no,no,2025-07-09_10h11.49.988,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-09 10h13.47.886810 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,16.26360583305359,False,space,correct rejection,None,1209.6683979034424,text_47,5,1,2back_dual_main_click,2,sich,1,0,1,120,60,,,,,,,,,,,12,01,yes,no,no,2025-07-09_10h11.49.988,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-09 10h13.47.886810 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,17.528071641921997,False,space,correct rejection,None,1353.1591892242432,text_47,6,1,2back_dual_main_click,2,etwa,1,0,1,120,60,,,,,,,,,,,12,01,yes,no,no,2025-07-09_10h11.49.988,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-09 10h13.47.886810 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,18.936103582382202,True,l,hit,521.1517810821533,1081.0673236846924,text_47,7,1,2back_dual_main_click,2,tausend,1,1,2,120,60,18.98687505722046,,,,,,,,,,12,01,yes,no,no,2025-07-09_10h11.49.988,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-09 10h13.47.886810 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,20.073497772216797,False,space,correct rejection,None,1063.7149810791016,text_47,8,1,2back_dual_main_click,2,Menschen,1,1,2,120,60,,,,,,,,,,,12,01,yes,no,no,2025-07-09_10h11.49.988,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-09 10h13.47.886810 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,21.19018054008484,False,space,correct rejection,None,1099.0207195281982,text_47,9,1,2back_dual_main_click,2,in,1,1,2,120,60,,,,,,,,,,,12,01,yes,no,no,2025-07-09_10h11.49.988,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-09 10h13.47.886810 +0200,
