thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_nback.thisRepN,loop_nback.thisTrialN,loop_nback.thisN,loop_nback.thisIndex,thisRow.t,notes,settings.started,settings.stopped,colour,global_onset_time,target,button_pressed,nback_response,nback_RT,RT,text_nr,trial_nr,block_nr_exp,block_name,n-back_level,word,nontarget_triggers_sent_this_condition,target_triggers_sent_this_condition,total_triggers_sent_this_condition,minimum_triggers_this_condition,maximum_triggers_this_block,trigger_time,question,chosen_ans,ans_correct,reading_self_paced.started,reading_self_paced.stopped,nback_self_paced.started,nback_self_paced.stopped,end.started,participant,session,TMS_port,testing_mode,skip_reading,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,0.06661796569824219,0.06675100326538086,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,03,yes,no,no,2025-07-29_14h42.07.153,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-29 14h46.27.272763 +0200,
0,0,0,0,0,0,0,,,,,0.2881138324737549,,,,#D292F3,13.897998809814453,False,space,correct rejection,None,670.4485416412354,text_15,1,1,2back_dual_main_click,2,Im,0,0,0,120,60,,,,,,,,,,22,03,yes,no,no,2025-07-29_14h42.07.153,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-29 14h46.27.272763 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,14.604377746582031,False,space,correct rejection,None,556.1017990112305,text_15,2,1,2back_dual_main_click,2,Jahr,1,0,1,120,60,14.65853500366211,,,,,,,,,22,03,yes,no,no,2025-07-29_14h42.07.153,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-29 14h46.27.272763 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,15.195288181304932,False,space,correct rejection,None,365.1695251464844,text_15,3,1,2back_dual_main_click,2,1841,1,0,1,120,60,,,,,,,,,,22,03,yes,no,no,2025-07-29_14h42.07.153,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-29 14h46.27.272763 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,15.598775863647461,False,space,correct rejection,None,521.6810703277588,text_15,4,1,2back_dual_main_click,2,organisierte,1,0,1,120,60,,,,,,,,,,22,03,yes,no,no,2025-07-29_14h42.07.153,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-29 14h46.27.272763 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,16.15934920310974,False,space,correct rejection,None,425.10128021240234,text_15,5,1,2back_dual_main_click,2,der,1,0,1,120,60,,,,,,,,,,22,03,yes,no,no,2025-07-29_14h42.07.153,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-29 14h46.27.272763 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,16.622159481048584,False,space,correct rejection,None,442.33107566833496,text_15,6,1,2back_dual_main_click,2,Prediger,1,0,1,120,60,,,,,,,,,,22,03,yes,no,no,2025-07-29_14h42.07.153,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-29 14h46.27.272763 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,17.102424144744873,False,space,correct rejection,None,457.9954147338867,text_15,7,1,2back_dual_main_click,2,Thomas,1,0,1,120,60,,,,,,,,,,22,03,yes,no,no,2025-07-29_14h42.07.153,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-29 14h46.27.272763 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,17.59947967529297,False,l,false alarm,409.00444984436035,584.9428176879883,text_15,8,1,2back_dual_main_click,2,Cook,1,0,1,120,60,,,,,,,,,,22,03,yes,no,no,2025-07-29_14h42.07.153,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-29 14h46.27.272763 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,18.22244358062744,False,space,correct rejection,None,346.0373878479004,text_15,9,1,2back_dual_main_click,2,eine,1,0,1,120,60,,,,,,,,,,22,03,yes,no,no,2025-07-29_14h42.07.153,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-29 14h46.27.272763 +0200,
