thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_nback.thisRepN,loop_nback.thisTrialN,loop_nback.thisN,loop_nback.thisIndex,thisRow.t,notes,settings.started,settings.stopped,colour,global_onset_time,target,button_pressed,nback_response,nback_RT,RT,text_nr,trial_nr,block_nr_exp,block_name,n-back_level,word,nontarget_triggers_sent_this_condition,target_triggers_sent_this_condition,total_triggers_sent_this_condition,minimum_triggers_this_condition,maximum_triggers_this_block,trigger_time,question,chosen_ans,ans_correct,reading_self_paced.started,reading_self_paced.stopped,nback_self_paced.started,nback_self_paced.stopped,end.started,participant,session,TMS_port,testing_mode,skip_reading,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,0.07495832443237305,0.07524323463439941,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,01,yes,no,no,2025-07-28_10h53.39.621,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-28 11h00.24.801079 +0200,
0,0,0,0,0,0,0,,,,,0.3789048194885254,,,,#88BA3F,136.86610174179077,False,space,correct rejection,None,1873.0943202972412,text_25,1,1,2back_dual_main_click,2,Im,0,0,0,120,60,,,,,,,,,,14,01,yes,no,no,2025-07-28_10h53.39.621,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-28 11h00.24.801079 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,138.77680087089539,False,space,correct rejection,None,2042.3970222473145,text_25,2,1,2back_dual_main_click,2,April,1,0,1,120,60,138.8391284942627,,,,,,,,,14,01,yes,no,no,2025-07-28_10h53.39.621,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-28 11h00.24.801079 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,140.87520146369934,False,space,correct rejection,None,1592.008352279663,text_25,3,1,2back_dual_main_click,2,1881,1,0,1,120,60,,,,,,,,,,14,01,yes,no,no,2025-07-28_10h53.39.621,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-28 11h00.24.801079 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,142.52189373970032,False,space,correct rejection,None,1977.1826267242432,text_25,4,1,2back_dual_main_click,2,gelang,2,0,2,120,60,143.83895993232727,,,,,,,,,14,01,yes,no,no,2025-07-28_10h53.39.621,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-28 11h00.24.801079 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,144.55493021011353,False,l,false alarm,1752.2194385528564,3144.195318222046,text_25,5,1,2back_dual_main_click,2,Billy,2,0,2,120,60,,,,,,,,,,14,01,yes,no,no,2025-07-28_10h53.39.621,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-28 11h00.24.801079 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,147.7530381679535,False,space,correct rejection,None,954.1244506835938,text_25,6,1,2back_dual_main_click,2,the,2,0,2,120,60,,,,,,,,,,14,01,yes,no,no,2025-07-28_10h53.39.621,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-28 11h00.24.801079 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,148.7588677406311,False,space,correct rejection,None,1676.323413848877,text_25,7,1,2back_dual_main_click,2,Kid,2,0,2,120,60,,,,,,,,,,14,01,yes,no,no,2025-07-28_10h53.39.621,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-28 11h00.24.801079 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,150.47533297538757,True,space,miss,None,1271.8768119812012,text_25,8,1,2back_dual_main_click,2,ein,2,1,3,120,60,150.52597165107727,,,,,,,,,14,01,yes,no,no,2025-07-28_10h53.39.621,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-28 11h00.24.801079 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,151.80247473716736,False,space,correct rejection,None,1320.8215236663818,text_25,9,1,2back_dual_main_click,2,legendärer,2,1,3,120,60,,,,,,,,,,14,01,yes,no,no,2025-07-28_10h53.39.621,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-28 11h00.24.801079 +0200,
