thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_nback.thisRepN,loop_nback.thisTrialN,loop_nback.thisN,loop_nback.thisIndex,thisRow.t,notes,settings.started,settings.stopped,colour,global_onset_time,target,button_pressed,nback_response,nback_RT,RT,text_nr,trial_nr,block_nr_exp,block_name,n-back_level,word,nontarget_triggers_sent_this_condition,target_triggers_sent_this_condition,total_triggers_sent_this_condition,minimum_triggers_this_condition,maximum_triggers_this_block,trigger_time,question,chosen_ans,ans_correct,reading_self_paced.started,reading_self_paced.stopped,nback_self_paced.started,nback_self_paced.stopped,end.started,end.stopped,participant,session,TMS_port,testing_mode,skip_reading,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,0.018611907958984375,0.019143104553222656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,0.12649035453796387,,,,#2AB7EF,16.385372400283813,None,space,None,None,1366.4114475250244,text_19,1,1,Reading_Baseline_main_click,None,Fernando,0,0,0,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,17.774538278579712,None,space,None,None,569.2360401153564,text_19,2,1,Reading_Baseline_main_click,None,de,1,0,1,60,60,17.830841541290283,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,18.36665940284729,None,space,None,None,905.1101207733154,text_19,3,1,Reading_Baseline_main_click,None,Noronha,1,0,1,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,19.291882753372192,None,space,None,None,683.9027404785156,text_19,4,1,Reading_Baseline_main_click,None,ist,1,0,1,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,20.00092601776123,None,space,None,None,550.837516784668,text_19,5,1,Reading_Baseline_main_click,None,eine,1,0,1,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,20.576755046844482,None,space,None,None,391.02745056152344,text_19,6,1,Reading_Baseline_main_click,None,geschützte,1,0,1,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,20.993268966674805,None,space,None,None,390.4914855957031,text_19,7,1,Reading_Baseline_main_click,None,Insel,1,0,1,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,21.4020357131958,None,space,None,None,333.73165130615234,text_19,8,1,Reading_Baseline_main_click,None,im,1,0,1,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,21.76034641265869,None,space,None,None,375.43725967407227,text_19,9,1,Reading_Baseline_main_click,None,Atlantik.,1,0,1,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,22.16056537628174,None,space,None,None,791.240930557251,text_19,10,1,Reading_Baseline_main_click,None,Sie,2,0,2,60,60,22.830971002578735,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,22.96959638595581,None,space,None,None,670.1562404632568,text_19,11,1,Reading_Baseline_main_click,None,gehört,2,0,2,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,23.66149663925171,None,space,None,None,762.2504234313965,text_19,12,1,Reading_Baseline_main_click,None,zum,2,0,2,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,24.450647354125977,None,space,None,None,805.1414489746094,text_19,13,1,Reading_Baseline_main_click,None,UNESCO-Welterbe,2,0,2,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,25.27915859222412,None,space,None,None,616.5869235992432,text_19,14,1,Reading_Baseline_main_click,None,und,2,0,2,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,25.921104431152344,None,space,None,None,518.5096263885498,text_19,15,1,Reading_Baseline_main_click,None,ist,2,0,2,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,26.463241815567017,None,space,None,None,616.527795791626,text_19,16,1,Reading_Baseline_main_click,None,bei,2,0,2,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,27.105234146118164,None,space,None,None,742.4871921539307,text_19,17,1,Reading_Baseline_main_click,None,Brasilianern,3,0,3,60,60,27.83097243309021,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,27.872222661972046,None,space,None,None,695.5513954162598,text_19,18,1,Reading_Baseline_main_click,None,ein,3,0,3,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,28.58918333053589,None,space,None,None,1322.6099014282227,text_19,19,1,Reading_Baseline_main_click,None,beliebter,3,0,3,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,29.933425188064575,None,space,None,None,474.32589530944824,text_19,20,1,Reading_Baseline_main_click,None,Ort,3,0,3,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,30.43383479118347,None,space,None,None,661.9219779968262,text_19,21,1,Reading_Baseline_main_click,None,für,3,0,3,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,31.117249965667725,None,space,None,None,906.5337181091309,text_19,22,1,Reading_Baseline_main_click,None,Urlaub.,3,0,3,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,32.05148410797119,None,space,None,None,516.2508487701416,text_19,23,1,Reading_Baseline_main_click,None,Nur,3,0,3,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,32.59809684753418,None,space,None,None,369.5952892303467,text_19,24,1,Reading_Baseline_main_click,None,246,4,0,4,60,60,32.83080291748047,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,32.99742555618286,None,space,None,None,546.3318824768066,text_19,25,1,Reading_Baseline_main_click,None,Touristen,4,0,4,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,33.57267117500305,None,space,None,None,451.0533809661865,text_19,26,1,Reading_Baseline_main_click,None,dürfen,4,0,4,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,34.04455232620239,None,space,None,None,571.1545944213867,text_19,27,1,Reading_Baseline_main_click,None,pro,4,0,4,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,34.63666605949402,None,space,None,None,683.0010414123535,text_19,28,1,Reading_Baseline_main_click,None,Tag,4,0,4,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,35.340736389160156,None,space,None,None,506.9296360015869,text_19,29,1,Reading_Baseline_main_click,None,die,4,0,4,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,35.869648456573486,None,space,None,None,810.1494312286377,text_19,30,1,Reading_Baseline_main_click,None,Insel,4,0,4,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,36.69749093055725,None,space,None,None,526.2870788574219,text_19,31,1,Reading_Baseline_main_click,None,besuchen.,4,0,4,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,37.23944044113159,None,space,None,None,416.2893295288086,text_19,32,1,Reading_Baseline_main_click,None,Auch,4,0,4,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,37.67301630973816,None,space,None,None,286.67306900024414,text_19,33,1,Reading_Baseline_main_click,None,der,5,0,5,60,60,37.83075571060181,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,37.98732256889343,None,space,None,None,436.2924098968506,text_19,34,1,Reading_Baseline_main_click,None,Zugang,5,0,5,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,38.44249701499939,None,space,None,None,365.0650978088379,text_19,35,1,Reading_Baseline_main_click,None,zu,5,0,5,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,38.823702812194824,None,space,None,None,336.0025882720947,text_19,36,1,Reading_Baseline_main_click,None,Stränden,5,0,5,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,39.17390441894531,None,space,None,None,321.8684196472168,text_19,37,1,Reading_Baseline_main_click,None,und,5,0,5,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,39.51579403877258,None,space,None,None,235.92329025268555,text_19,38,1,Reading_Baseline_main_click,None,Buchten,5,0,5,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,39.76602602005005,None,space,None,None,609.7996234893799,text_19,39,1,Reading_Baseline_main_click,None,ist,5,0,5,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,40.391287088394165,None,space,None,None,432.48939514160156,text_19,40,1,Reading_Baseline_main_click,None,streng,5,0,5,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,40.846675157547,None,space,None,None,617.1057224273682,text_19,41,1,Reading_Baseline_main_click,None,geregelt.,5,0,5,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,41.488627910614014,None,space,None,None,535.1378917694092,text_19,42,1,Reading_Baseline_main_click,None,Die,5,0,5,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,42.047778844833374,None,space,None,None,424.0148067474365,text_19,43,1,Reading_Baseline_main_click,None,Natur,5,0,5,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#88BA3F,42.49771738052368,None,space,None,None,550.0426292419434,text_19,44,1,Reading_Baseline_main_click,None,dort,6,0,6,60,60,42.83085608482361,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,43.07289910316467,None,space,None,None,454.8914432525635,text_19,45,1,Reading_Baseline_main_click,None,gehört,6,0,6,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,43.54856824874878,None,space,None,None,491.1961555480957,text_19,46,1,Reading_Baseline_main_click,None,zu,6,0,6,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,44.065232276916504,None,space,None,None,486.53483390808105,text_19,47,1,Reading_Baseline_main_click,None,den,6,0,6,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,44.573800802230835,None,space,None,None,329.94842529296875,text_19,48,1,Reading_Baseline_main_click,None,am,6,0,6,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#F989A2,44.923871994018555,None,space,None,None,427.9007911682129,text_19,49,1,Reading_Baseline_main_click,None,besten,6,0,6,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,45.37420988082886,None,space,None,None,377.5789737701416,text_19,50,1,Reading_Baseline_main_click,None,geschützten,6,0,6,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#D292F3,45.774436235427856,None,space,None,None,633.3591938018799,text_19,51,1,Reading_Baseline_main_click,None,in,6,0,6,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
0,0,0,0,0,0,0,,,,,,,,,#2AB7EF,46.43339657783508,None,space,None,None,406.3987731933594,text_19,52,1,Reading_Baseline_main_click,None,ganz,6,0,6,60,60,,,,,,,,,,,03,02,yes,no,no,2025-06-03_11h05.55.641,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-06-03 11h09.20.189777 +0200,
