DisplayImage	corrAns	thisN	thisTrialN	thisRepN	ishihara_number.text	ishihara_pics.thisRepN	ishihara_pics.thisTrialN	ishihara_pics.thisN	ishihara_pics.thisIndex	blocks.thisRepN	blocks.thisTrialN	blocks.thisN	blocks.thisIndex	thisRow.t	notes	Settings.started	Settings.stopped	Demographics.started	Demographics.stopped	demographic_form.index	demographic_form.itemText	demographic_form.type	demographic_form.font	demographic_form.markerColor	demographic_form.response	demographic_form.rt	demographic_button.numClicks	demographic_button.timesOn	demographic_button.timesOff	Education.started	Education.stopped	education_form.index	education_form.itemText	education_form.type	education_form.font	education_form.markerColor	education_form.response	education_form.rt	education_button.numClicks	education_button.timesOn	education_button.timesOff	Ishihara.started	Ishihara.stopped	ishihara_pics.ishihara_number.text	no_text_blocks_self_paced.started	no_text_blocks_self_paced.stopped	colour	target	button_pressed	nback_response	nback_RT	duration	text_nr	trial_nr	block_nr	block_name	block_kind	word	global_onset_time	question	chosen_ans	ans_correct	block_nr_exp	n-back_level	text_blocks_self_paced.started	text_blocks_self_paced.stopped	end.started	end.stopped	participant	session	testing_mode	date	expName	psychopyVersion	expStart	
																0.019403696060180664	0.01984429359436035																																																				02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																		0.02024984359741211	24.479162216186523	0.0	Willkommen zum Experiment!	heading	None	None																																													02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																				0.0	Bitte beantworten Sie zunächst die folgenden Fragen:	description	None	None																																													02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																				gender	Welches Geschlecht steht in Ihrem Ausweis?	radio	None	None	Weiblich	3.3981029987335205																																											02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																				age	Wie alt sind Sie?	free text	None	None	40	None																																											02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																				language	Ist Deutsch Ihre Muttersprache?	radio	None	None	Ja	12.73412537574768																																											02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																				dyslexia	Haben Sie eine Leseschwäche?	radio	None	None	Nein	14.470471620559692																																											02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																				vision_glasses	Tragen Sie eine Brille?	radio	None	None	Ja	10.073333740234375																																											02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																				vision_lenses	Tragen Sie Kontaktlinsen?	radio	None	None	Nein	12.153398513793945																																											02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																				handedness	Sind Sie rechtshändig?	radio	None	None	Ja	12.832583665847778																																											02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																											1	[1.4091429710388184]	[1.4091484546661377]																																								02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																														24.479880809783936	67.58766078948975	0.0	Bitte beantworten Sie die folgenden Fragen zu Ihrer Ausbildung:	description	None	None																																	02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																																education	Was ist Ihr höchster Bildungsabschluss?	radio	None	None	Ausbildung	3.4578146934509277																															02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																																edu_intro	Wie viele Jahre verbrachten Sie insgesamt mit:	description	None	None																																	02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																																edu_school_years	Schule	free text	None	None	"13
"	None																															02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																																edu_eveningschool_years	Abendschule	free text	None	None	0	None																															02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																																edu_training_years	Ausbildung	free text	None	None	3	None																															02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																																edu_training_GDR_years	Fachschule	free text	None	None	0	None																															02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																																edu_uni_years	Universität/Hochschule	free text	None	None	3	None																															02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																																edu_other_years	Sonstiges	free text	None	None	0	None																															02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																																edu_profession	Was ist Ihr derzeitiger/letzter Beruf?	free text	None	None	 kaufmännische Angestellte	None																															02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																																							1	[6.012249946594238]	[6.012255907058716]																												02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
																																																																					02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test4_78.png	78	0	0	0	78	0	0	0	3					76.09815883636475																												76.0793571472168	79.30116987228394	78																									02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test6_15.png	15	1	1	0	15	0	1	1	5					80.35901761054993																												80.35002589225769	82.8194990158081	15																									02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test3_21.png	21	2	2	0	21	0	2	2	2					83.87775707244873																												83.8635606765747	86.24674963951111	21																									02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test1_70.png	70	3	3	0	70	0	3	3	0					87.3047239780426																												87.29038619995117	89.69905543327332	70																									02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test5_23.png	23	4	4	0	23	0	4	4	4					90.75677394866943																												90.74465084075928	93.41864013671875	23																									02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
Stimuli_and_Resources/Ishihara_Colour_Vision_Test/ishihara_test2_17.png	17	5	5	0	17	0	5	5	1					94.47562074661255																												94.46386981010437	98.13679099082947	17																									02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
		0	0	0						0	0	0	0	99.13696026802063																															99.13706994056702	99.13708782196045	#88BA3F	None	None	None	None	789.8249626159668	reading_bl_training_text	1	0	Reading_Baseline_training_click	None	Auf											02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
		0	0	0						0	0	0	0																																		#D292F3	None	None	None	None	831.6676616668701	reading_bl_training_text	2	0	Reading_Baseline_training_click	None	dem											02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
		0	0	0						0	0	0	0																																		#2AB7EF	None	None	None	None	822.5154876708984	reading_bl_training_text	3	0	Reading_Baseline_training_click	None	großen											02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
		0	0	0						0	0	0	0																																		#2AB7EF	None	None	None	None	914.9227142333984	reading_bl_training_text	4	0	Reading_Baseline_training_click	None	"Passagierdampfer,"											02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
		0	0	0						0	0	0	0																																		#F989A2	None	None	None	None	830.6174278259277	reading_bl_training_text	5	0	Reading_Baseline_training_click	None	der											02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
		0	0	0						0	0	0	0																																		#D292F3	None	None	None	None	684.6904754638672	reading_bl_training_text	6	0	Reading_Baseline_training_click	None	um											02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
		0	0	0						0	0	0	0																																		#88BA3F	None	None	None	None	664.0501022338867	reading_bl_training_text	7	0	Reading_Baseline_training_click	None	Mitternacht											02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
		0	0	0						0	0	0	0																																		#F989A2	None	None	None	None	814.6243095397949	reading_bl_training_text	8	0	Reading_Baseline_training_click	None	von											02	01	no	2025-05-26_10h38.13.789	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-26 10h38.37.579320 +0200	
