DisplayImage	corrAns	thisN	thisTrialN	thisRepN	ishihara_number.text	ishihara_pics.thisRepN	ishihara_pics.thisTrialN	ishihara_pics.thisN	ishihara_pics.thisIndex	blocks.thisRepN	blocks.thisTrialN	blocks.thisN	blocks.thisIndex	thisRow.t	notes	Settings.started	Settings.stopped	Demographics.started	Demographics.stopped	demographic_form.index	demographic_form.itemText	demographic_form.type	demographic_form.font	demographic_form.markerColor	demographic_form.response	demographic_form.rt	demographic_button.numClicks	demographic_button.timesOn	demographic_button.timesOff	Education.started	Education.stopped	education_form.index	education_form.itemText	education_form.type	education_form.font	education_form.markerColor	education_form.response	education_form.rt	education_button.numClicks	education_button.timesOn	education_button.timesOff	Ishihara.started	Ishihara.stopped	ishihara_pics.ishihara_number.text	no_text_blocks_self_paced.started	no_text_blocks_self_paced.stopped	colour	target	button_pressed	nback_response	nback_RT	duration	text_nr	trial_nr	block_nr	block_name	block_kind	word	global_onset_time	question	chosen_ans	ans_correct	block_nr_exp	n-back_level	text_blocks_self_paced.started	text_blocks_self_paced.stopped	end.started	end.stopped	participant	session	testing_mode	date	expName	psychopyVersion	expStart	
																0.015979766845703125	0.01626300811767578																																																				07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																		0.01668715476989746	43.695842266082764	0.0	Willkommen zum Experiment!	heading	None	None																																													07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																				0.0	Bitte beantworten Sie zunächst die folgenden Fragen:	description	None	None																																													07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																				gender	Welches Geschlecht steht in Ihrem Ausweis?	radio	None	None	Weiblich	26.462435245513916																																											07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																				age	Wie alt sind Sie?	free text	None	None	22	None																																											07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																				language	Ist Deutsch Ihre Muttersprache?	radio	None	None	Ja	32.00340986251831																																											07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																				dyslexia	Haben Sie eine Leseschwäche?	radio	None	None	Nein	33.72279238700867																																											07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																				vision_glasses	Tragen Sie eine Brille?	radio	None	None	Nein	6.528117895126343																																											07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																				vision_lenses	Tragen Sie Kontaktlinsen?	radio	None	None	Nein	6.231856107711792																																											07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																				handedness	Sind Sie rechtshändig?	radio	None	None	Ja	7.507925033569336																																											07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																											1	[3.043501138687134]	[3.043505907058716]																																								07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																														43.696528673172	267.9777081012726	0.0	Bitte beantworten Sie die folgenden Fragen zu Ihrer Ausbildung:	description	None	None																																	07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																																education	Was ist Ihr höchster Bildungsabschluss?	radio	None	None	Bachelor	12.74724817276001																															07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																																edu_intro	Wie viele Jahre verbrachten Sie insgesamt mit:	description	None	None																																	07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																																edu_school_years	Schule	free text	None	None	12	None																															07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																																edu_eveningschool_years	Abendschule	free text	None	None	0	None																															07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																																edu_training_years	Ausbildung	free text	None	None	0	None																															07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																																edu_training_GDR_years	Fachschule	free text	None	None	0	None																															07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																																edu_uni_years	Universität/Hochschule	free text	None	None	6	None																															07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																																edu_other_years	Sonstiges	free text	None	None	Frühstudium 2 Jahre während Schule. BWL + Wirtschaftspsychologie	None																															07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																																edu_profession	Was ist Ihr derzeitiger/letzter Beruf?	free text	None	None	"Medizinstudentin, "Gewerkschaft""	None																															07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																																							1	[69.81611585617065]	[69.81612062454224]																												07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
																																																																					07	01	no	2025-05-28_15h35.37.009	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-28 15h38.28.572323 +0200	
