DisplayImage	corrAns	thisN	thisTrialN	thisRepN	ishihara_number.text	ishihara_pics.thisRepN	ishihara_pics.thisTrialN	ishihara_pics.thisN	ishihara_pics.thisIndex	blocks.thisRepN	blocks.thisTrialN	blocks.thisN	blocks.thisIndex	thisRow.t	notes	Settings.started	Settings.stopped	Demographics.started	Demographics.stopped	demographic_form.index	demographic_form.itemText	demographic_form.type	demographic_form.font	demographic_form.markerColor	demographic_form.response	demographic_form.rt	demographic_button.numClicks	demographic_button.timesOn	demographic_button.timesOff	Education.started	Education.stopped	education_form.index	education_form.itemText	education_form.type	education_form.font	education_form.markerColor	education_form.response	education_form.rt	education_button.numClicks	education_button.timesOn	education_button.timesOff	Ishihara.started	Ishihara.stopped	ishihara_pics.ishihara_number.text	no_text_blocks_self_paced.started	no_text_blocks_self_paced.stopped	colour	target	button_pressed	nback_response	nback_RT	duration	text_nr	trial_nr	block_nr	block_name	block_kind	word	global_onset_time	question	chosen_ans	ans_correct	block_nr_exp	n-back_level	text_blocks_self_paced.started	text_blocks_self_paced.stopped	end.started	end.stopped	participant	session	testing_mode	date	expName	psychopyVersion	expStart	
																0.018826961517333984	0.019203662872314453																																																				01	01	no	2025-05-22_14h35.28.163	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-22 14h36.22.724952 +0200	
																		0.019680500030517578	29.805781602859497	0.0	Willkommen zum Experiment!	heading	None	None																																													01	01	no	2025-05-22_14h35.28.163	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-22 14h36.22.724952 +0200	
																				0.0	Bitte beantworten Sie zunächst die folgenden Fragen:	description	None	None																																													01	01	no	2025-05-22_14h35.28.163	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-22 14h36.22.724952 +0200	
																				gender	Welches Geschlecht steht in Ihrem Ausweis?	radio	None	None	Männlich	9.62888765335083																																											01	01	no	2025-05-22_14h35.28.163	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-22 14h36.22.724952 +0200	
																				age	Wie alt sind Sie?	free text	None	None	33	None																																											01	01	no	2025-05-22_14h35.28.163	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-22 14h36.22.724952 +0200	
																				language	Ist Deutsch Ihre Muttersprache?	radio	None	None	Ja	14.901003360748291																																											01	01	no	2025-05-22_14h35.28.163	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-22 14h36.22.724952 +0200	
																				dyslexia	Haben Sie eine Leseschwäche?	radio	None	None	Nein	17.5561740398407																																											01	01	no	2025-05-22_14h35.28.163	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-22 14h36.22.724952 +0200	
																				vision_glasses	Tragen Sie eine Brille?	radio	None	None	Nein	7.271360397338867																																											01	01	no	2025-05-22_14h35.28.163	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-22 14h36.22.724952 +0200	
																				vision_lenses	Tragen Sie Kontaktlinsen?	radio	None	None	Nein	7.367908000946045																																											01	01	no	2025-05-22_14h35.28.163	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-22 14h36.22.724952 +0200	
																				handedness	Sind Sie rechtshändig?	radio	None	None	Ja	8.496668577194214																																											01	01	no	2025-05-22_14h35.28.163	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-22 14h36.22.724952 +0200	
