DisplayImage	corrAns	thisN	thisTrialN	thisRepN	ishihara_number.text	ishihara_pics.thisRepN	ishihara_pics.thisTrialN	ishihara_pics.thisN	ishihara_pics.thisIndex	blocks.thisRepN	blocks.thisTrialN	blocks.thisN	blocks.thisIndex	thisRow.t	notes	Settings.started	Settings.stopped	Demographics.started	Demographics.stopped	demographic_form.index	demographic_form.itemText	demographic_form.type	demographic_form.font	demographic_form.markerColor	demographic_form.response	demographic_form.rt	demographic_button.numClicks	demographic_button.timesOn	demographic_button.timesOff	Education.started	Education.stopped	education_form.index	education_form.itemText	education_form.type	education_form.font	education_form.markerColor	education_form.response	education_form.rt	education_button.numClicks	education_button.timesOn	education_button.timesOff	Ishihara.started	Ishihara.stopped	ishihara_pics.ishihara_number.text	no_text_blocks_self_paced.started	no_text_blocks_self_paced.stopped	colour	target	button_pressed	nback_response	nback_RT	duration	text_nr	trial_nr	block_nr	block_name	block_kind	word	global_onset_time	question	chosen_ans	ans_correct	block_nr_exp	n-back_level	text_blocks_self_paced.started	text_blocks_self_paced.stopped	end.started	end.stopped	participant	session	testing_mode	date	expName	psychopyVersion	expStart	
		2	0	2						2	0	2	0																																		#D292F3	False	space	correct rejection	None	2074.8281478881836	text_07	16	8	2back_dual_main_click	2	unter											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		2	0	2						2	0	2	0																																		#D292F3	False	space	correct rejection	None	814.8114681243896	text_07	17	8	2back_dual_main_click	2	Wasser.											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		2	0	2						2	0	2	0																																		#F989A2	False	space	correct rejection	None	1598.5133647918701	text_07	18	8	2back_dual_main_click	2	Hier											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		2	0	2						2	0	2	0																																		#F989A2	False	l	false alarm	765.1574611663818	1323.8492012023926	text_07	19	8	2back_dual_main_click	2	fotografiert											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		2	0	2						2	0	2	0																																		#88BA3F	False	space	correct rejection	None	1232.337474822998	text_07	20	8	2back_dual_main_click	2	er											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		2	0	2						2	0	2	0																																		#2AB7EF	False	space	correct rejection	None	1724.0407466888428	text_07	21	8	2back_dual_main_click	2	viele											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		2	0	2						2	0	2	0																																		#88BA3F	True	space	miss	None	1598.3293056488037	text_07	22	8	2back_dual_main_click	2	einzigartige											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		2	0	2						2	0	2	0																																		#D292F3	False	space	correct rejection	None	1307.647705078125	text_07	23	8	2back_dual_main_click	2	"Meereslebewesen,"											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		2	0	2						2	0	2	0																																		#F989A2	False	space	correct rejection	None	1089.7295475006104	text_07	24	8	2back_dual_main_click	2	wie											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		2	0	2						2	0	2	0																																		#D292F3	True	l	hit	606.75048828125	1423.8543510437012	text_07	25	8	2back_dual_main_click	2	farbenfrohe											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		2	0	2						2	0	2	0																																		#88BA3F	False	space	correct rejection	None	1466.268539428711	text_07	26	8	2back_dual_main_click	2	"Fische,"											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		2	0	2						2	0	2	0																																		#F989A2	False	space	correct rejection	None	1130.8505535125732	text_07	27	8	2back_dual_main_click	2	"Haie,"											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		2	0	2						2	0	2	0																																		#F989A2	False	space	correct rejection	None	848.5124111175537	text_07	28	8	2back_dual_main_click	2	Rochen											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		2	0	2						2	0	2	0																																		#2AB7EF	False	space	correct rejection	None	1441.0672187805176	text_07	29	8	2back_dual_main_click	2	und											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		2	0	2						2	0	2	0																																		#D292F3	False	space	correct rejection	None	1288.963794708252	text_07	30	8	2back_dual_main_click	2	Pygmäen-Seepferdchen.											03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		2	0	2						2	0	2	0																																				4				text_07			2back_dual_main_click			505.0765519142151	Q1	d	False	9	2					03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		2	0	2						2	0	2	0																																				3				text_07			2back_dual_main_click			509.42992782592773	Q2	c	False	9	2					03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		2	0	2						2	0	2	0																																				2				text_07			2back_dual_main_click			514.5591962337494	Q3	b	False	9	2					03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
		2	0	2						2	0	2	0																																																				522.0205316543579	522.02055311203			03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
																																																																			606.4728899002075	606.4731450080872	03	01	no	2025-05-27_14h37.00.210	EXNAT_4_Training_Psychopy2024.2.5	2024.2.5	2025-05-27 14h37.27.073151 +0200	
