thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,settings.started,settings.stopped,colour,global_onset_time,target,button_pressed,nback_response,nback_RT,RT,text_nr,trial_nr,block_nr_exp,block_name,n-back_level,word,nontarget_triggers_sent_this_condition,target_triggers_sent_this_condition,total_triggers_sent_this_condition,minimum_triggers_this_condition,maximum_triggers_this_block,trigger_time,question,chosen_ans,ans_correct,participant,session,TMS_port,testing_mode,skip_reading,date,expName,psychopyVersion,expStart,
0,0,0,0,0,0,0,,,,,#88BA3F,34.411853075027466,None,space,None,None,583.6632251739502,text_38,17,1,Reading_Baseline_main_click,None,der,2,0,2,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#2AB7EF,35.03817296028137,None,space,None,None,1333.4460258483887,text_38,18,1,Reading_Baseline_main_click,None,Hirschstein-Khirigsuur-Kultur,3,0,3,60,60,35.48299980163574,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,36.41238880157471,None,space,None,None,791.1648750305176,text_38,19,1,Reading_Baseline_main_click,None,in,3,0,3,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,37.241052865982056,None,space,None,None,538.1953716278076,text_38,20,1,Reading_Baseline_main_click,None,der,3,0,3,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,37.81945514678955,None,space,None,None,584.0027332305908,text_38,21,1,Reading_Baseline_main_click,None,Mongolei,3,0,3,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,38.442065715789795,None,space,None,None,569.4630146026611,text_38,22,1,Reading_Baseline_main_click,None,Hinweise,3,0,3,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,39.05206036567688,None,space,None,None,519.4287300109863,text_38,23,1,Reading_Baseline_main_click,None,auf,3,0,3,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#F989A2,39.611138105392456,None,space,None,None,568.321943283081,text_38,24,1,Reading_Baseline_main_click,None,gezogene,3,0,3,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#D292F3,40.21821641921997,None,space,None,None,585.0465297698975,text_38,25,1,Reading_Baseline_main_click,None,Zähne.,4,0,4,60,60,40.483131647109985,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
0,0,0,0,0,0,0,,,,,#88BA3F,40.84235715866089,None,space,None,None,569.1394805908203,text_38,26,1,Reading_Baseline_main_click,None,Sie,4,0,4,60,60,,,,,19,03,yes,no,no,2025-07-30_15h52.46.442,EXNAT_4_TMS_Psychopy2024.2.5.psyexp,2024.2.5,2025-07-30 15h54.35.488184 +0200,
